LOCALE,TENANT_ID,NEGO_TYPE_CODE,OUTCOME_CODE,OUTCOME_NAME
ko,"L2100","TSB","BPA","BPA"
ko,"L2100","TSB","TP","Tenative Price"
ko,"L2100","TSB","SD","Supplier Development"
ko,"L2100","TSB","IPO","Inverstment PO"
ko,"L2100","TSB","BP","Budget Price"
ko,"L2100","TSB","NP","Negotiation Price"
ko,"L2100","TSB","SDUP","Subsidiary Dev Unit Price"
ko,"L2100","CPB","BPA","BPA"
ko,"L2100","CPB","TP","Tenative Price"
ko,"L2100","CPB","SD","Supplier Development"
ko,"L2100","CPB","IPO","Inverstment PO"
ko,"L2100","CPB","BP","Budget Price"
ko,"L2100","CPB","NP","Negotiation Price"
ko,"L2100","CPB","SDUP","Subsidiary Dev Unit Price"
ko,"L2100","RFP","BPA","BPA"
ko,"L2100","RFP","TP","Tenative Price"
ko,"L2100","RFP","SD","Supplier Development"
ko,"L2100","RFP","IPO","Inverstment PO"
ko,"L2100","RFP","BP","Budget Price"
ko,"L2100","RFP","NP","Negotiation Price"
ko,"L2100","RFP","SDUP","Subsidiary Dev Unit Price"
ko,"L2100","RFQ","BPA","BPA"
ko,"L2100","RFQ","TP","Tenative Price"
ko,"L2100","RFQ","SD","Supplier Development"
ko,"L2100","RFQ","IPO","Inverstment PO"
ko,"L2100","RFQ","BP","Budget Price"
ko,"L2100","RFQ","NP","Negotiation Price"
ko,"L2100","RFQ","SDUP","Subsidiary Dev Unit Price"
en,"L2100","TSB","BPA","BPA"
en,"L2100","TSB","TP","Tenative Price"
en,"L2100","TSB","SD","Supplier Development"
en,"L2100","TSB","IPO","Inverstment PO"
en,"L2100","TSB","BP","Budget Price"
en,"L2100","TSB","NP","Negotiation Price"
en,"L2100","TSB","SDUP","Subsidiary Dev Unit Price"
en,"L2100","CPB","BPA","BPA"
en,"L2100","CPB","TP","Tenative Price"
en,"L2100","CPB","SD","Supplier Development"
en,"L2100","CPB","IPO","Inverstment PO"
en,"L2100","CPB","BP","Budget Price"
en,"L2100","CPB","NP","Negotiation Price"
en,"L2100","CPB","SDUP","Subsidiary Dev Unit Price"
en,"L2100","RFP","BPA","BPA"
en,"L2100","RFP","TP","Tenative Price"
en,"L2100","RFP","SD","Supplier Development"
en,"L2100","RFP","IPO","Inverstment PO"
en,"L2100","RFP","BP","Budget Price"
en,"L2100","RFP","NP","Negotiation Price"
en,"L2100","RFP","SDUP","Subsidiary Dev Unit Price"
en,"L2100","RFQ","BPA","BPA"
en,"L2100","RFQ","TP","Tenative Price"
en,"L2100","RFQ","SD","Supplier Development"
en,"L2100","RFQ","IPO","Inverstment PO"
en,"L2100","RFQ","BP","Budget Price"
en,"L2100","RFQ","NP","Negotiation Price"
en,"L2100","RFQ","SDUP","Subsidiary Dev Unit Price"